English,Indonesia
you,Kamu
i,Saya
the,itu
to,ke
and,Dan
that,itu
of,dari
is,adalah
what,Apa
we,Kami
me,Saya
this,ini
he,Dia
for,untuk
my,-ku
on,pada
have,memiliki
your,milikmu
do,Mengerjakan
was,dulu
no,tidak
not,bukan
be,menjadi
are,adalah
don,mengenakan
know,tahu
can,Bisa
with,dengan
but,Tetapi
all,semua
so,Jadi
just,hanya
there,di sana
here,Di Sini
they,mereka
like,menyukai
get,mendapatkan
she,dia
go,pergi
if,jika
right,Kanan
out,keluar
about,tentang
up,ke atas
at,pada
him,dia
now,Sekarang
one,satu
come,datang
well,Sehat
her,dia
how,Bagaimana
yeah,Ya
will,akan
got,telah mendapatkan
want,ingin
think,memikirkan
as,sebagai
see,melihat
did,telah melakukan
good,Bagus
who,siapa
why,Mengapa
from,dari
let,membiarkan
his,miliknya
yes,Ya
when,Kapan
going,pergi
time,waktu
an,sebuah
okay,Oke
back,kembali
look,Lihat
us,kita
would,akan
them,mereka
where,Di mana
were,adalah
take,mengambil
then,Kemudian
had,telah
or,atau
been,pernah
our,kita
gonna,akan
tell,memberi tahu
really,Sungguh
man,pria
some,beberapa
say,mengatakan
hey,Hai
could,bisa
didn't,tidak
by,oleh
need,membutuhkan
something,sesuatu
has,memiliki
too,juga
more,lagi
way,jalan
down,turun
make,membuat
very,sangat
never,tidak pernah
only,hanya
people,rakyat
over,lebih
because,Karena
little,kecil
please,Tolong
love,Cinta
should,sebaiknya
mean,berarti
said,dikatakan
sorry,Maaf
give,memberi
off,mati
thanks,terima kasih
any,setiap
two,dua
even,bahkan
much,banyak
doing,sedang mengerjakan
sure,Tentu
thing,benda
these,ini
help,membantu
first,Pertama
into,ke dalam
anything,apa pun
still,tetap
find,menemukan
life,kehidupan
nothing,Tidak ada apa-apa
sir,Pak
day,hari
god,Tuhan
work,bekerja
their,milik mereka
again,lagi
maybe,Mungkin
must,harus
before,sebelum
other,lainnya
wait,Tunggu
stop,berhenti
call,panggilan
after,setelah
won,won
talk,bicara
away,jauh
than,dibandingkan
thought,pikiran
home,rumah
night,malam
put,meletakkan
great,Besar
those,itu
last,terakhir
better,lebih baik
everything,semuanya
told,diberi tahu
new,baru
things,hal-hal
always,selalu
keep,menyimpan
long,panjang
years,bertahun-tahun
leave,meninggalkan
does,melakukan
money,uang
